Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
SP1,2012-03-25,Zaragoza,Ath Madrid,1,0,H,0,0,D,12,12,3,2,14,19,6,9,0,5,0,0,2011-2012
SP1,2012-03-26,Granada,Sevilla,0,3,A,0,1,A,20,21,4,10,10,15,12,1,4,4,0,0,2011-2012
SP1,2012-03-31,Barcelona,Ath Bilbao,2,0,H,1,0,H,20,4,14,1,11,14,10,4,1,3,0,0,2011-2012
SP1,2012-03-31,Malaga,Betis,0,2,A,0,2,A,20,7,6,2,9,21,8,1,1,4,0,0,2011-2012
SP1,2012-03-31,Osasuna,Real Madrid,1,5,A,0,3,A,13,13,1,7,17,14,3,4,2,1,1,0,2011-2012
SP1,2012-03-31,Santander,Granada,0,1,A,0,0,D,7,16,2,6,20,11,3,5,4,2,0,0,2011-2012
SP1,2012-03-31,Sp Gijon,Zaragoza,1,2,A,0,1,A,14,11,6,5,20,30,7,6,3,7,0,0,2011-2012
SP1,2012-04-01,Ath Madrid,Getafe,3,0,H,1,0,H,8,10,4,3,25,10,7,3,1,2,0,0,2011-2012
SP1,2012-04-01,Sociedad,Vallecano,4,0,H,2,0,H,15,9,8,1,16,18,3,5,1,3,0,0,2011-2012
SP1,2012-04-01,Valencia,Levante,1,1,D,1,0,H,12,9,4,2,15,12,5,2,4,3,0,0,2011-2012
SP1,2012-04-01,Villarreal,Espanol,0,0,D,0,0,D,9,8,3,2,12,17,3,1,1,3,0,0,2011-2012
SP1,2012-04-02,Sevilla,Mallorca,3,1,H,0,0,D,15,8,6,3,10,16,8,4,4,2,0,0,2011-2012
SP1,2012-04-07,Betis,Villarreal,3,1,H,2,0,H,16,11,8,3,16,14,4,9,3,1,0,1,2011-2012
SP1,2012-04-07,Espanol,Sociedad,2,2,D,1,2,A,27,11,12,4,14,17,13,2,5,3,0,1,2011-2012
SP1,2012-04-07,Getafe,Sp Gijon,2,0,H,1,0,H,10,14,4,3,27,18,4,5,4,4,0,0,2011-2012
SP1,2012-04-07,Vallecano,Osasuna,6,0,H,4,0,H,19,10,12,3,15,13,5,7,1,4,0,0,2011-2012
SP1,2012-04-07,Zaragoza,Barcelona,1,4,A,1,2,A,14,14,5,7,22,13,2,9,4,5,1,0,2011-2012
SP1,2012-04-08,Ath Bilbao,Sevilla,1,0,H,0,0,D,18,17,6,3,14,12,4,3,4,4,0,0,2011-2012
SP1,2012-04-08,Levante,Ath Madrid,2,0,H,2,0,H,8,18,4,6,11,13,2,7,4,5,0,1,2011-2012
SP1,2012-04-08,Mallorca,Granada,0,0,D,0,0,D,13,19,3,7,21,8,11,7,4,1,0,0,2011-2012
SP1,2012-04-08,Real Madrid,Valencia,0,0,D,0,0,D,33,17,10,4,12,16,11,5,3,3,0,0,2011-2012
SP1,2012-04-09,Malaga,Santander,3,0,H,1,0,H,30,1,13,0,12,13,12,0,3,2,0,1,2011-2012
SP1,2012-04-10,Barcelona,Getafe,4,0,H,2,0,H,14,2,7,0,9,10,13,5,1,1,0,0,2011-2012
SP1,2012-04-10,Osasuna,Espanol,2,0,H,0,0,D,14,4,4,0,13,17,4,3,3,4,0,2,2011-2012
SP1,2012-04-10,Sociedad,Betis,1,1,D,0,0,D,17,12,4,6,10,10,9,5,0,3,0,0,2011-2012
